WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,SHIPMONTH,WGTADJ,CONTROL,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
69.1571,2,1,3,2,1,3,1,1,2,1,90000,1200,3,202201,0.9369,22010001,R,I,R,R,R,R,I,R,R,R,R
69.1571,2,1,3,2,2,3,1,1,2,1,82000,1200,3,202201,0.9369,22010002,R,R,R,R,I,I,R,I,I,I,I
69.1571,2,1,3,2,3,3,1,1,2,1,68000,1100,3,202201,0.9369,22010003,R,R,R,R,R,R,R,R,R,R,R
18.5789,2,1,3,2,2,4,1,1,1,1,90000,1200,3,202201,0.9369,22010004,R,I,R,R,R,R,I,R,R,R,R
18.5789,2,1,4,2,1,4,3,2,2,1,90000,1200,3,202201,0.9369,22010005,I,I,I,I,I,I,I,I,I,I,I
18.5789,2,1,3,2,1,4,3,1,1,1,76000,920,3,202201,0.9369,22010006,I,I,I,I,I,I,I,I,I,I,I
18.5789,2,1,4,2,1,4,3,1,2,1,85000,1100,3,202201,0.9369,22010007,I,I,I,I,I,I,I,I,I,I,I
18.5789,2,1,4,2,1,4,2,1,2,1,71000,820,1,202201,0.9369,22010008,I,I,I,I,I,I,I,I,I,I,I
18.5789,2,1,4,1,1,4,3,1,2,1,9,820,1,202201,0.9369,22010009,I,9,I,I,I,I,I,I,I,I,I
18.5789,2,1,3,2,3,4,1,1,2,1,85000,1100,3,202201,0.9369,22010010,I,I,I,I,I,I,I,I,I,I,I
18.5789,2,1,3,2,1,4,1,1,2,1,94000,1300,3,202201,0.9369,22010011,I,I,I,I,I,I,I,I,I,I,I
18.5789,1,1,3,1,1,4,1,1,2,1,9,1100,3,202201,0.9369,22010012,I,9,I,I,I,I,I,I,I,I,I
18.5789,2,1,3,2,1,4,1,1,2,1,85000,1100,3,202201,0.9369,22010013,I,I,I,I,I,I,I,I,I,I,I
11.45,2,1,3,2,2,1,1,1,2,1,96000,1200,3,202201,0.9369,22010014,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,5,2,2,3,1,1,2,1,69000,660,1,202201,0.9369,22010015,R,I,R,R,R,R,R,R,R,R,R
15.745500000000002,2,1,4,2,1,2,1,1,2,1,66000,740,1,202201,0.9369,22010016,R,I,I,I,I,R,I,I,R,I,I
15.745500000000002,2,1,5,2,1,2,1,1,2,1,90000,1200,3,202201,0.9369,22010017,I,I,I,I,I,I,I,I,I,I,I
15.745500000000002,2,1,3,2,1,2,1,1,2,1,82000,1100,3,202201,0.9369,22010018,I,I,I,I,I,I,I,I,I,I,I
18.5789,2,1,3,1,1,2,1,1,1,1,9,740,1,202201,0.9369,22010019,R,9,R,R,R,R,R,R,R,R,R
15.745500000000002,1,1,5,2,1,2,3,1,1,1,94000,1300,3,202201,0.9369,22010020,R,I,R,R,R,R,R,R,R,R,R
15.745500000000002,1,1,3,2,1,2,1,1,2,1,91000,740,1,202201,0.9369,22010021,R,R,R,R,R,R,R,R,R,R,R
15.745500000000002,2,1,3,1,1,2,4,1,1,1,9,1200,3,202201,0.9369,22010022,R,9,R,R,R,R,R,R,R,R,R
15.745500000000002,2,1,3,2,1,2,1,1,2,1,78000,960,3,202201,0.9369,22010023,I,I,I,I,I,I,I,I,I,I,I
15.745500000000002,2,1,3,2,1,2,1,1,2,1,69000,740,1,202201,0.9369,22010024,I,I,I,I,I,I,I,I,I,I,I
15.745500000000002,2,1,3,2,1,2,1,1,2,1,78000,960,3,202201,0.9369,22010025,I,I,I,I,I,I,I,I,I,I,I
69.1571,2,1,3,2,3,3,1,1,2,1,75000,900,1,202201,0.9369,22010026,I,I,I,I,I,I,I,I,I,I,I
69.1571,2,1,5,2,2,3,1,1,2,1,73000,1300,3,202201,0.9369,22010027,R,R,R,R,R,R,R,R,R,R,R
15.745500000000002,2,1,3,2,1,2,1,1,2,1,90000,1200,3,202201,0.9369,22010028,I,I,I,I,I,I,I,I,I,I,I
15.745500000000002,2,1,3,2,1,2,1,2,2,1,87000,1200,3,202201,0.9369,22010029,I,I,I,I,I,I,I,I,I,I,I
15.745500000000002,1,1,3,2,1,2,3,1,1,1,71000,1100,3,202201,0.9369,22010030,R,R,R,R,R,R,R,R,R,R,R
15.745500000000002,2,1,3,2,1,2,1,1,2,1,94000,1300,3,202201,0.9369,22010031,I,I,I,I,I,I,I,I,I,I,I
15.745500000000002,1,1,3,2,1,2,1,1,3,1,65000,1200,3,202201,0.9369,22010032,R,R,R,R,R,R,I,I,R,I,I
15.745500000000002,1,1,3,2,1,2,1,2,1,1,67000,1100,3,202201,0.9369,22010033,R,R,R,R,R,R,I,I,R,I,I
15.745500000000002,2,1,3,2,1,2,1,1,2,1,100000,1200,1,202201,0.9369,22010034,R,R,R,R,R,R,R,I,R,I,I
15.745500000000002,2,1,3,1,1,2,1,1,2,1,9,1100,3,202201,0.9369,22010035,R,9,R,R,R,R,I,I,R,R,R
15.745500000000002,2,1,3,2,1,2,1,1,3,1,76000,920,3,202201,0.9369,22010036,I,I,I,I,I,I,I,I,I,I,I
18.5789,2,1,3,1,1,2,1,1,1,1,9,1200,3,202201,0.9369,22010037,R,9,R,R,R,R,R,R,R,R,R
15.745500000000002,1,1,3,1,1,2,1,1,2,1,9,1300,3,202201,0.9369,22010038,I,9,I,I,I,I,I,I,I,I,I
15.745500000000002,2,1,3,1,1,2,1,1,3,1,9,1200,3,202201,0.9369,22010039,I,9,I,I,I,I,I,I,I,I,I
15.745500000000002,2,1,3,2,1,2,1,1,3,1,82000,1100,3,202201,0.9369,22010040,I,I,I,I,I,I,I,I,I,I,I
15.745500000000002,1,1,3,1,1,2,1,1,2,1,9,1100,3,202201,0.9369,22010041,I,9,I,I,I,I,I,I,I,I,I
15.745500000000002,2,1,3,2,1,2,1,1,2,1,82000,1100,3,202201,0.9369,22010042,I,I,I,I,I,I,I,I,I,I,I
18.5789,2,1,3,2,3,4,1,1,2,1,94000,1300,3,202201,0.9369,22010043,R,I,R,R,R,R,R,R,R,R,I
15.745500000000002,2,1,3,2,2,2,1,1,1,1,90000,1200,3,202201,0.9369,22010044,I,I,I,I,I,I,I,I,I,I,I
11.45,1,1,3,1,1,1,1,1,3,1,9,1100,3,202201,0.9369,22010045,R,9,R,R,R,R,R,R,R,R,R
11.45,2,1,5,2,1,1,3,1,2,1,93000,780,1,202201,0.9369,22010046,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,5,2,1,3,1,1,2,1,98000,920,1,202201,0.9369,22010047,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,4,1,1,3,1,1,2,1,9,1100,3,202201,0.9369,22010048,R,9,R,R,R,R,R,R,R,R,R
15.745500000000002,2,1,3,2,1,2,1,1,2,1,56000,1200,3,202201,0.9369,22010049,R,R,R,R,R,R,R,R,R,R,R
15.745500000000002,2,1,3,2,3,2,1,1,1,1,92000,1200,1,202201,0.9369,22010050,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,3,2,3,3,1,1,2,1,53000,840,1,202201,0.9369,22010051,R,R,R,R,R,R,R,R,I,R,R
18.5789,2,1,3,2,2,4,2,1,1,1,57000,820,1,202201,0.9369,22010052,R,R,R,R,R,R,R,R,R,R,R
11.45,1,1,3,1,1,1,1,1,2,1,9,840,1,202201,0.9369,22010053,R,9,R,R,R,R,I,R,R,R,R
11.45,2,1,3,2,1,1,1,1,1,1,95000,960,1,202201,0.9369,22010054,R,R,R,R,R,R,R,R,R,R,R
11.45,2,1,3,2,1,1,1,1,2,1,99000,630,1,202201,0.9369,22010055,R,R,R,R,R,R,R,R,R,R,R
11.45,2,1,3,2,1,1,1,1,2,1,82000,1100,3,202201,0.9369,22010056,I,I,I,I,I,I,I,I,I,I,I
11.45,2,1,3,2,3,1,1,1,2,1,80000,950,1,202201,0.9369,22010057,R,R,R,R,R,R,R,R,R,R,R
11.45,2,1,3,2,1,1,1,1,2,1,76000,1100,3,202201,0.9369,22010058,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,4,2,2,3,1,1,2,1,73000,1200,3,202201,0.9369,22010059,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,5,2,3,3,1,1,2,1,90000,1200,3,202201,0.9369,22010060,I,I,I,I,I,I,I,I,I,I,I
69.1571,2,1,3,2,1,3,1,1,2,1,98000,1200,3,202201,0.9369,22010061,R,R,R,R,R,R,I,R,R,R,R
69.1571,2,1,5,2,3,3,1,1,2,1,65000,840,1,202201,0.9369,22010062,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,3,2,3,3,1,1,2,1,100000,1200,3,202201,0.9369,22010063,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,5,2,2,3,1,1,2,1,53000,960,1,202201,0.9369,22010064,R,R,R,R,R,R,R,R,R,R,R
69.1571,1,1,4,2,1,3,1,1,3,1,96000,900,1,202201,0.9369,22010065,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,3,2,2,3,1,1,2,1,84000,1100,1,202201,0.9369,22010066,R,I,R,R,R,R,R,I,R,I,I
15.745500000000002,1,1,5,2,1,2,1,1,1,1,75000,1300,3,202201,0.9369,22010067,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,2,2,2,3,0,0,2,1,68000,1200,3,202201,0.9369,22010068,R,R,R,R,R,R,R,R,R,R,R
69.1571,2,1,1,2,1,3,0,0,2,1,53000,1200,3,202201,0.9369,22010069,R,R,R,R,R,R,R,R,R,R,R
18.5789,2,1,1,2,3,4,0,0,2,1,71000,820,1,202201,0.9369,22010070,I,I,I,I,I,I,I,R,I,I,R
18.5789,2,1,1,2,1,1,0,0,1,1,90000,1200,3,202201,0.9369,22010071,R,I,I,I,I,R,I,R,R,I,R
11.45,2,1,1,2,1,1,0,0,2,1,80000,1000,1,202201,0.9369,22010072,R,I,I,I,I,R,I,R,R,I,R
11.45,2,1,1,2,3,1,0,0,2,1,82000,1100,3,202201,0.9369,22010073,I,I,I,I,I,I,I,R,I,I,R
69.1571,1,2,9,2,9,3,9,9,9,1,99000,660,1,202201,0.9369,22010074,R,R,R,R,R,R,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,53000,660,1,202201,0.9369,22010075,I,I,I,I,I,I,9,9,9,9,9
15.745500000000002,2,2,9,2,9,2,9,9,9,1,89000,1200,3,202201,0.9369,22010076,I,I,I,I,I,I,9,9,9,9,9
15.745500000000002,1,2,9,2,9,2,9,9,9,1,87000,1200,3,202201,0.9369,22010077,I,I,I,I,I,I,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,92000,1200,3,202201,0.9369,22010078,R,R,R,R,R,R,9,9,9,9,9
15.745500000000002,1,2,9,2,9,2,9,9,9,1,120000,1200,3,202201,0.9369,22010079,R,R,R,R,R,R,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,88000,1200,3,202201,0.9369,22010080,R,R,R,R,R,R,9,9,9,9,9
18.5789,1,2,9,2,9,4,9,9,9,1,71000,820,1,202201,0.9369,22010081,I,I,I,I,I,I,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,72000,840,1,202201,0.9369,22010082,I,I,I,I,I,I,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,94000,1300,3,202201,0.9369,22010083,R,I,I,I,I,I,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,90000,1200,3,202201,0.9369,22010084,I,I,I,I,I,I,9,9,9,9,9
15.745500000000002,1,2,9,2,9,2,9,9,9,1,70000,1200,3,202201,0.9369,22010085,R,R,R,R,R,R,9,9,9,9,9
15.745500000000002,1,2,9,2,9,2,9,9,9,1,96000,1300,3,202201,0.9369,22010086,R,R,R,R,R,R,9,9,9,9,9
15.745500000000002,1,2,9,2,9,2,9,9,9,1,89000,1200,3,202201,0.9369,22010087,R,R,R,R,R,R,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,69000,660,1,202201,0.9369,22010088,I,I,I,I,I,I,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,92000,1200,3,202201,0.9369,22010089,I,I,I,I,I,I,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,84000,1200,3,202201,0.9369,22010090,R,R,R,R,R,R,9,9,9,9,9
15.745500000000002,1,2,9,2,9,2,9,9,9,1,94000,1300,3,202201,0.9369,22010091,I,I,I,I,I,I,9,9,9,9,9
11.45,1,2,9,2,9,1,9,9,9,1,93000,1000,1,202201,0.9369,22010092,R,R,R,R,R,R,9,9,9,9,9
15.745500000000002,1,2,9,2,9,2,9,9,9,1,56000,920,3,202201,0.9369,22010093,R,R,R,R,R,R,9,9,9,9,9
69.1571,1,2,9,2,9,3,9,9,9,1,53000,660,1,202201,0.9369,22010094,R,R,R,R,R,R,9,9,9,9,9
18.5789,1,2,9,2,9,4,9,9,9,1,92000,920,3,202201,0.9369,22010095,R,R,R,R,R,R,9,9,9,9,9
